experiment_dir,dataset,encoder,method,train_per_class,epochs_config,epoch_result,acc,mean_gap,split,keep_recommendation,result_path,args_path,log_path
ft_vit_B16_outputs_cifar/2_class4000,cifar10,vit,vit fine-tuning baseline,4000,20,13,0.978,0.14596790969371795,test,index_only,ft_vit_B16_outputs_cifar/2_class4000/args/class4000_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/2_class4000/args/class4000_args.json,ft_vit_B16_outputs_cifar/2_class4000/log/class4000_train_log.csv
ft_vit_B16_outputs_cifar/3_class3000,cifar10,vit,vit fine-tuning baseline,3000,20,7,0.9822,0.1708669811487198,test,index_only,ft_vit_B16_outputs_cifar/3_class3000/args/class3000_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/3_class3000/args/class3000_args.json,ft_vit_B16_outputs_cifar/3_class3000/log/class3000_train_log.csv
ft_vit_B16_outputs_cifar/4_class2000,cifar10,vit,vit fine-tuning baseline,2000,20,11,0.9782,0.15138019472360612,test,index_only,ft_vit_B16_outputs_cifar/4_class2000/args/class2000_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/4_class2000/args/class2000_args.json,ft_vit_B16_outputs_cifar/4_class2000/log/class2000_train_log.csv
ft_vit_B16_outputs_cifar/5_class1000,cifar10,vit,vit fine-tuning baseline,1000,20,5,0.975,0.13501255512237548,test,index_only,ft_vit_B16_outputs_cifar/5_class1000/args/class1000_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/5_class1000/args/class1000_args.json,ft_vit_B16_outputs_cifar/5_class1000/log/class1000_train_log.csv
ft_vit_B16_outputs_cifar/6_class500,cifar10,vit,vit fine-tuning baseline,500,20,11,0.9724,0.14198767244815827,test,index_only,ft_vit_B16_outputs_cifar/6_class500/args/class500_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/6_class500/args/class500_args.json,ft_vit_B16_outputs_cifar/6_class500/log/class500_train_log.csv
ft_vit_B16_outputs_cifar/7_class100,cifar10,vit,vit fine-tuning baseline,100,20,6,0.964,0.1141444742679596,test,index_only,ft_vit_B16_outputs_cifar/7_class100/args/class100_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/7_class100/args/class100_args.json,ft_vit_B16_outputs_cifar/7_class100/log/class100_train_log.csv
ft_vit_B16_outputs_cifar/8_class50,cifar10,vit,vit fine-tuning baseline,50,20,20,0.9538,0.09918450713157653,test,index_only,ft_vit_B16_outputs_cifar/8_class50/args/class50_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/8_class50/args/class50_args.json,ft_vit_B16_outputs_cifar/8_class50/log/class50_train_log.csv
ft_vit_B16_outputs_cifar/9_class10,cifar10,vit,vit fine-tuning baseline,10,20,7,0.9392,0.06764787584543228,test,index_only,ft_vit_B16_outputs_cifar/9_class10/args/class10_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar/9_class10/args/class10_args.json,ft_vit_B16_outputs_cifar/9_class10/log/class10_train_log.csv
ft_vit_B16_outputs_cifar_origin_loss/1_all,cifar10,vit,vit fine-tuning baseline,,20,6,0.9828,0.09099882245063781,test,index_only,ft_vit_B16_outputs_cifar_origin_loss/1_all/args/all_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar_origin_loss/1_all/args/all_args.json,ft_vit_B16_outputs_cifar_origin_loss/1_all/log/all_train_log.csv
ft_vit_B16_outputs_cifar_origin_loss/2_class4000,cifar10,vit,vit fine-tuning baseline,4000,20,5,0.9792,0.08352192044258118,test,index_only,ft_vit_B16_outputs_cifar_origin_loss/2_class4000/args/class4000_cifar10_final_test_result.json,ft_vit_B16_outputs_cifar_origin_loss/2_class4000/args/class4000_args.json,ft_vit_B16_outputs_cifar_origin_loss/2_class4000/log/class4000_train_log.csv
